Facility,location,Process,val,Current Status,year,Owner,Country,ISO country code
Brunswick-2," 33.9574, -78.0071",BWR,811,Operating,1975,Progress Energy Corp,United States,US
Byron-1," 42.0744, -89.2766",PWR,1105,Operating,1985,Exelon Nuclear Co,United States,US
Byron-2," 42.0744, -89.2756",PWR,1105,Operating,1987,Exelon Nuclear Co,United States,US
Callaway-1," 38.763, -91.7814",PWR,1235,Operating,1984,Ameren,United States,US
Calvert Cliffs-1," 38.4345, -76.4389",PWR,825,Operating,1975,Constellation Energy,United States,US
Calvert Cliffs-2," 38.434, -76.4389",PWR,825,Operating,1977,Constellation Energy,United States,US
Catawba-1," 35.053, -81.071",PWR,1129,Operating,1985,Duke Power Co,United States,US
Catawba-2," 35.053, -81.07",PWR,1129,Operating,1986,Duke Power Co,United States,US
Clinton-1," 40.1717, -88.8335",BWR,930,Operating,1987,AmerGen Energy Co,United States,US
Columbia (WNP-2)," 46.4713, -119.333",BWR,1150,Operating,1984,Energy Northwest,United States,US
Comanche Peak-1," 32.3007, -97.7865",PWR,1150,Operating,1990,TXU Electric Co,United States,US
Comanche Peak-2," 32.3007, -97.7855",PWR,1150,Operating,1993,TXU Electric Co,United States,US
Cooper," 40.3609, -95.6434",BWR,764,Operating,1974,Nebraska Public Power District (NPPD),United States,US
Crystal River-3," 28.9659, -82.6971",PWR,868,Operating,1977,Progress Energy Corp,United States,US
Davis Besse-1," 41.5969, -83.0919",PWR,877,Operating,1978,First Energy,United States,US
Diablo Canyon-1," 35.2122, -120.854",PWR,1130,Operating,1985,Pacific Gas and Electric Co (PG&E),United States,US
Diablo Canyon-2," 35.2122, -120.853",PWR,1160,Operating,1986,Pacific Gas and Electric Co (PG&E),United States,US
Donald Cook-1," 41.9752, -86.5641",PWR,1020,Operating,1975,Indiana Michigan Power Co,United States,US
Donald Cook-2," 41.9752, -86.5631",PWR,1108,Operating,1978,Indiana Michigan Power Co,United States,US
Dresden-2," 41.38615, -88.26802",BWR,912,Operating,1970,Exelon Nuclear Co,United States,US
Dresden-3," 41.38513, -88.26837",BWR,794,Operating,1971,Exelon Nuclear Co,United States,US
Duane Arnold-1," 42.101, -91.776",BWR,600,Operating,1975,FPL Group,United States,US
Enrico Fermi-2," 41.9627, -83.2566",BWR,1139,Operating,1988,Detroit Edison Co,United States,US
Farley-1," 31.2231, -85.1145",PWR,828,Operating,1977,Alabama Power,United States,US
Farley-2," 31.2231, -85.1135",PWR,838,Operating,1981,Alabama Power,United States,US
FitzPatrick," 43.521, -76.4026",BWR,780,Operating,1975,Entergy Nuclear,United States,US
Fort Calhoun-1," 41.5202, -96.076",PWR,485,Operating,1974,Omaha Public Power District (OPPD),United States,US
Grand Gulf-1," 32.0069, -91.0452",BWR,1204,Operating,1985,Entergy Nuclear,United States,US
H B Robinson-2," 34.4024, -80.1584",PWR,683,Operating,1971,Progress Energy Corp,United States,US
Hatch-1," 31.9347, -82.3461",BWR,863,Operating,1975,Southern Nuclear Operating Co,United States,US
Hatch-2," 31.9343, -82.3461",BWR,878,Operating,1979,Southern Nuclear Operating Co,United States,US
Hope Creek-1," 39.4668, -75.5354",BWR,1031,Operating,1986,Public Service Electric and Gas Co (PSEG),United States,US
Indian Point-2," 41.2693, -73.9497",PWR,975,Operating,1974,Entergy Nuclear,United States,US
Indian Point-3," 41.2688, -73.9497",PWR,979,Operating,1976,Entergy Nuclear,United States,US
Kewaunee," 44.4696, -87.498",PWR,556,Operating,1974,Dominion Resources,United States,US
LaSalle-1," 41.2461, -88.6724",BWR,1078,Operating,1984,Exelon Nuclear Co,United States,US
LaSalle-2," 41.2456, -88.6724",BWR,1078,Operating,1984,Exelon Nuclear Co,United States,US
Limerick-1," 40.2251, -75.5835",BWR,1200,Operating,1986,Exelon Nuclear Co,United States,US
Limerick-2," 40.2246, -75.5835",BWR,1200,Operating,1990,Exelon Nuclear Co,United States,US
McGuire-1," 35.4333, -80.9463",PWR,1100,Operating,1981,Duke Power Co,United States,US
McGuire-2," 35.4327, -80.9463",PWR,1100,Operating,1984,Duke Power Co,United States,US
Millstone-2," 41.3116, -72.166",PWR,875,Operating,1975,Dominion Virginia Power,United States,US
Millstone-3," 41.3111, -72.166",PWR,1152,Operating,1986,Dominion Virginia Power,United States,US
Monticello," 45.3337, -93.8504",BWR,593,Operating,1971,Xcel Energy,United States,US
Nine Mile Point-1," 43.5216, -76.4124",BWR,610,Operating,1969,Constellation Energy,United States,US
Nine Mile Point-2," 43.5205, -76.4126",BWR,1143,Operating,1988,Constellation Energy,United States,US
North Anna-1," 38.0612, -77.7918",PWR,925,Operating,1978,Dominion Virginia Power,United States,US
North Anna-2," 38.0607, -77.7918",PWR,917,Operating,1980,Dominion Virginia Power,United States,US
Oconee-1," 34.7964, -82.8944",PWR,846,Operating,1973,Duke Power Co,United States,US
Oconee-2," 34.7959, -82.8944",PWR,846,Operating,1974,Duke Power Co,United States,US
Oconee-3," 34.7954, -82.8944",PWR,846,Operating,1974,Duke Power Co,United States,US
Oyster Creek," 39.8146, -74.2077",BWR,610,Operating,1969,AmerGen Energy Co,United States,US
Palisades," 42.3226, -86.3161",PWR,789,Operating,1971,Consumers Energy,United States,US
Palo Verde-1," 33.3873, -112.863",PWR,1243,Operating,1986,Arizona Nuclear Power Project (ANPP),United States,US
Palo Verde-2," 33.3868, -112.863",PWR,1243,Operating,1986,Arizona Nuclear Power Project (ANPP),United States,US
Palo Verde-3," 33.3863, -112.863",PWR,1247,Operating,1988,Arizona Nuclear Power Project (ANPP),United States,US
Peach Bottom-2," 39.7589, -76.2702",BWR,1110,Operating,1974,Exelon Nuclear Co,United States,US
Peach Bottom-3," 39.7584, -76.2702",BWR,1110,Operating,1974,Exelon Nuclear Co,United States,US
Perry-1," 41.8006, -81.1465",BWR,1265,Operating,1987,First Energy,United States,US
Pilgrim-1," 41.9449, -70.5776",BWR,670,Operating,1972,Entergy Nuclear,United States,US
Point Beach-1," 44.2816, -87.5343",PWR,485,Operating,1970,Wisconsin Electric Power Co,United States,US
Point Beach-2," 44.2811, -87.5343",PWR,485,Operating,1972,Wisconsin Electric Power Co,United States,US
Prairie Island-1," 44.6223, -92.6314",PWR,530,Operating,1973,Xcel Energy,United States,US
Prairie Island-2," 44.6218, -92.6314",PWR,530,Operating,1974,Xcel Energy,United States,US
Quad Cities-1," 41.7268, -90.3078",BWR,789,Operating,1973,Exelon Nuclear Co,United States,US
Quad Cities-2," 41.7263, -90.3078",BWR,789,Operating,1973,Exelon Nuclear Co,United States,US
R E Ginna," 43.2786, -77.3108",PWR,580,Operating,1970,Constellation Energy,United States,US
River Bend-1," 30.7273, -91.3716",BWR,936,Operating,1986,Entergy Nuclear,United States,US
Salem-1," 39.463, -75.5342",PWR,1106,Operating,1977,Public Service Electric and Gas Co (PSEG),United States,US
Salem-2," 39.4625, -75.5342",PWR,1106,Operating,1981,Public Service Electric and Gas Co (PSEG),United States,US
San Onofre-2," 33.3673, -117.556",PWR,1070,Operating,1983,Southern California Edison,United States,US
San Onofre-3," 33.3668, -117.556",PWR,1080,Operating,1984,Southern California Edison,United States,US
Seabrook-1," 42.8974, -70.8493",PWR,1162,Operating,1990,Florida Power and Light Co (FPL),United States,US
Sequoyah-1," 35.2277, -85.0936",PWR,1147,Operating,1981,Tennessee Valley Authority (TVA),United States,US
Sequoyah-2," 35.2272, -85.0936",PWR,1142,Operating,1982,Tennessee Valley Authority (TVA),United States,US
Shearon Harris-1," 35.6349, -78.9548",PWR,860,Operating,1987,Progress Energy Corp,United States,US
South Texas-1," 28.7967, -96.0444",PWR,1268,Operating,1988,STP Nuclear Operating Co,United States,US
South Texas-2," 28.7962, -96.0444",PWR,1268,Operating,1989,STP Nuclear Operating Co,United States,US
St. Lucie-1," 27.3484, -80.2439",PWR,839,Operating,1976,Florida Power and Light Co (FPL),United States,US
St. Lucie-2," 27.3484, -80.2438",PWR,839,Operating,1983,Florida Power and Light Co (FPL),United States,US
Surry-1," 37.1664, -76.7003",PWR,810,Operating,1972,Dominion Virginia Power,United States,US
Surry-2," 37.1659, -76.7003",PWR,815,Operating,1973,Dominion Virginia Power,United States,US
Susquehanna-1," 41.0929, -76.1428",BWR,1100,Operating,1983,Pennsylvania Power and Light Co (PP&L),United States,US
Susquehanna-2," 41.0924, -76.1428",BWR,1103,Operating,1985,Pennsylvania Power and Light Co (PP&L),United States,US
Three Mile Island-1," 40.1539, -76.727",PWR,786,Operating,1974,AmerGen Energy Co,United States,US
Turkey Point-3," 25.4346, -80.3301",PWR,693,Operating,1972,Florida Power and Light Co (FPL),United States,US
Turkey Point-4," 25.4346, -80.3291",PWR,693,Operating,1973,Florida Power and Light Co (FPL),United States,US
Vermont Yankee," 42.7787, -72.5143",BWR,510,Operating,1972,Entergy Nuclear,United States,US
Virgil C Summer-1," 34.2985, -81.3138",PWR,885,Operating,1984,South Carolina Electric and Gas Co,United States,US
Vogtle-1," 33.1425, -81.7596",PWR,1148,Operating,1987,Southern Nuclear Operating Co,United States,US
Vogtle-2," 33.142, -81.7596",PWR,1149,Operating,1989,Southern Nuclear Operating Co,United States,US
Waterford-3," 29.9944, -90.4708",PWR,1075,Operating,1985,Entergy Nuclear,United States,US
Watts Bar-1," 35.601, -84.7893",PWR,1128,Operating,1996,Tennessee Valley Authority (TVA),United States,US
Wolf Creek," 38.2392, -95.6905",PWR,1135,Operating,1985,KGE/KCPL/KEPC,United States,US
